Date Heure, GMT+01:00	T B110	T B111	T B113	Trepro	T B103	Tescatt	TB102	Tvest	Tinf	TB105	TB104	Tacceuil
11/02/2015 21:36	20.627	23.497	23.833	22.082	20.936	21.342	20.936	24.291	20.817	23.689	21.437	22.058
11/02/2015 21:41	20.627	23.497	23.833	22.082	20.936	21.342	20.936	24.291	20.817	23.665	21.437	22.034
11/02/2015 21:46	20.603	23.497	23.833	22.082	20.936	21.342	20.936	24.291	20.770	23.665	21.437	22.034
11/02/2015 21:51	20.579	23.497	23.833	22.082	20.936	21.342	20.913	24.291	20.746	23.665	21.437	22.011
11/02/2015 21:56	20.579	23.472	23.833	22.082	20.936	21.318	20.913	24.291	20.698	23.665	21.413	22.034
11/02/2015 22:01	20.555	23.472	23.833	22.082	20.936	21.318	20.889	24.291	20.674	23.641	21.437	22.011
11/02/2015 22:06	20.555	23.448	23.833	22.082	20.936	21.318	20.865	24.291	20.650	23.641	21.413	22.011
11/02/2015 22:11	20.555	23.448	23.809	22.082	20.936	21.318	20.841	24.291	20.650	23.641	21.413	22.011
11/02/2015 22:16	20.531	23.448	23.833	22.082	20.936	21.318	20.841	24.291	20.627	23.641	21.413	21.987
11/02/2015 22:21	20.507	23.424	23.833	22.082	20.936	21.318	20.841	24.291	20.603	23.641	21.413	21.987
11/02/2015 22:26	20.507	23.424	23.833	22.082	20.913	21.318	20.817	24.291	20.603	23.617	21.413	21.963
11/02/2015 22:31	20.484	23.424	23.833	22.082	20.913	21.318	20.817	24.291	20.579	23.617	21.413	21.963
11/02/2015 22:36	20.484	23.424	23.833	22.082	20.913	21.294	20.793	24.291	20.579	23.617	21.413	21.963
11/02/2015 22:41	20.460	23.424	23.809	22.082	20.913	21.294	20.793	24.291	20.579	23.617	21.390	21.939
11/02/2015 22:46	20.460	23.424	23.809	22.082	20.913	21.294	20.793	24.267	20.579	23.617	21.390	21.915
11/02/2015 22:51	20.460	23.400	23.809	22.082	20.913	21.294	20.793	24.267	20.579	23.593	21.390	21.915
11/02/2015 22:56	20.436	23.400	23.809	22.082	20.913	21.294	20.770	24.291	20.579	23.593	21.390	21.939
11/02/2015 23:01	20.436	23.400	23.809	22.082	20.913	21.294	20.746	24.291	20.555	23.593	21.390	21.915
11/02/2015 23:06	20.412	23.400	23.809	22.082	20.913	21.294	20.746	24.267	20.555	23.593	21.390	21.939
11/02/2015 23:11	20.388	23.400	23.809	22.082	20.913	21.294	20.746	24.267	20.555	23.569	21.390	21.891
11/02/2015 23:16	20.365	23.376	23.809	22.082	20.913	21.294	20.746	24.291	20.555	23.569	21.390	21.891
11/02/2015 23:21	20.365	23.376	23.809	22.082	20.913	21.294	20.746	24.291	20.555	23.569	21.366	21.867
11/02/2015 23:26	20.365	23.376	23.809	22.082	20.913	21.270	20.746	24.291	20.531	23.569	21.366	21.867
11/02/2015 23:31	20.341	23.376	23.809	22.082	20.913	21.270	20.722	24.291	20.555	23.545	21.366	21.843
11/02/2015 23:36	20.341	23.352	23.809	22.082	20.913	21.270	20.698	24.291	20.627	23.545	21.366	21.843
11/02/2015 23:41	20.317	23.376	23.809	22.082	20.889	21.270	20.698	24.291	20.674	23.545	21.366	21.819
11/02/2015 23:46	20.317	23.352	23.809	22.082	20.889	21.270	20.698	24.291	20.698	23.545	21.366	21.843
11/02/2015 23:51	20.317	23.352	23.809	22.082	20.889	21.270	20.674	24.291	20.746	23.545	21.366	21.819
