	MatD230	EM160b	MG230	MatD160	FD90	MatG230	FD160	MatG160	EG160b	MatG90	MatG20	FD20	ED160b	ME160	FD230	MatD90	EG230	EG160	EG90	EG20	EM230	EM160	EM90	EM20	ED230	ED160	ED90	ED20
16/12/2014 17:55	21.437	21.557	22.633	21.246	20.293	21.772	21.079	21.294	21.557	21.199	20.555	18.818		21.032	20.913		22.226	22.992	21.127	20.746	21.676	21.437	22.226	20.103	22.561	21.079	20.865	19.127
16/12/2014 18:00	21.413	21.533	22.609	21.246	20.293	21.748	21.079	21.294	21.533	21.175	20.531	18.818		21.008	20.889		22.202	22.992	21.103	20.746	21.652	21.437	22.202	20.103	22.561	21.079	20.841	19.151
16/12/2014 18:05	21.413	21.509	22.585	21.223	20.269	21.748	21.032	21.270	21.533	21.151	20.531	18.794		20.984	20.889		22.178	22.968	21.103	20.722	21.652	21.413	22.202	20.126	22.561	21.056	20.793	19.151
16/12/2014 18:10	21.461	21.509	22.513	21.223	20.198	21.795	20.984	21.270	21.509	21.151	20.531	18.794		20.984	20.865		22.082	22.968	21.103	20.722	21.676	21.390	22.202	20.103	22.609	21.103	20.722	19.175
16/12/2014 18:15	21.509	21.509	22.465	21.246	20.174	21.843	20.984	21.294	21.509	21.127	20.507	18.771		21.008	20.865		22.034	22.968	21.079	20.722	21.700	21.413	22.202	20.103	22.633	21.103	20.698	19.175
16/12/2014 18:20	21.581	21.509	22.441	21.246	20.150	21.867	20.960	21.294	21.509	21.127	20.531	18.747		21.008	20.865		22.034	22.968	21.079	20.722	21.724	21.390	22.178	20.079	22.633	21.103	20.698	19.175
16/12/2014 18:25	21.604	21.509	22.417	21.246	20.126	21.891	20.960	21.318	21.509	21.127	20.531	18.747		21.008	20.865		22.011	22.968	21.079	20.698	21.724	21.390	22.178	20.103	22.633	21.103	20.650	19.175
16/12/2014 18:30	21.604	21.509	22.393	21.246	20.103	21.891	20.936	21.318	21.509	21.127	20.507	18.747		21.008	20.841		21.987	22.968	21.056	20.698	21.724	21.390	22.178	20.079	22.657	21.103	20.650	19.175
16/12/2014 18:35	21.628	21.509	22.369	21.270	20.079	21.891	20.936	21.318	21.509	21.127	20.507	18.723		21.008	20.841		21.963	22.944	21.056	20.698	21.724	21.366	22.178	20.079	22.633	21.103	20.650	19.175
16/12/2014 18:40	21.628	21.509	22.369	21.246	20.079	21.891	20.936	21.318	21.485	21.127	20.507	18.723		21.008	20.865		21.963	22.944	21.032	20.698	21.700	21.366	22.178	20.079	22.633	21.079	20.627	19.175
16/12/2014 18:45	21.628	21.485	22.345	21.246	20.055	21.891	20.913	21.318	21.485	21.127	20.507	18.723		20.984	20.841		21.963	22.944	21.032	20.674	21.700	21.342	22.154	20.079	22.633	21.079	20.627	19.151
16/12/2014 18:50	21.628	21.485	22.321	21.246	20.055	21.891	20.913	21.318	21.485	21.127	20.484	18.699		20.984	20.841		21.939	22.944	21.032	20.674	21.700	21.342	22.154	20.079	22.633	21.079	20.627	19.151
16/12/2014 18:55	21.628	21.485	22.321	21.223	20.031	21.891	20.913	21.294	21.461	21.103	20.484	18.699		20.984	20.817		21.915	22.920	21.032	20.674	21.700	21.342	22.154	20.079	22.609	21.079	20.603	19.151
16/12/2014 19:00	21.628	21.485	22.298	21.223	20.007	21.891	20.889	21.294	21.461	21.103	20.484	18.675		20.984	20.817		21.915	22.920	21.008	20.674	21.700	21.342	22.154	20.079	22.609	21.079	20.603	19.151
16/12/2014 19:05	21.604	21.461	22.298	21.223	20.007	21.891	20.889	21.294	21.461	21.103	20.460	18.675		20.960	20.793		21.891	22.920	21.008	20.674	21.700	21.318	22.154	20.055	22.609	21.056	20.603	19.151
16/12/2014 19:10	21.628	21.461	22.274	21.223	20.007	21.891	20.889	21.294	21.461	21.103	20.460	18.652		20.960	20.793		21.891	22.920	21.008	20.650	21.700	21.318	22.130	20.055	22.609	21.056	20.603	19.151
16/12/2014 19:15	21.604	21.461	22.274	21.223	19.984	21.891	20.865	21.294	21.461	21.103	20.460	18.652		20.960	20.770		21.891	22.920	21.008	20.674	21.700	21.318	22.130	20.055	22.609	21.056	20.579	19.151
16/12/2014 19:20	21.628	21.461	22.274	21.199	19.984	21.891	20.865	21.294	21.437	21.079	20.460	18.652		20.960	20.770		21.867	22.920	20.984	20.650	21.700	21.318	22.130	20.055	22.633	21.056	20.555	19.151
16/12/2014 19:25	21.604	21.461	22.274	21.199	19.984	21.891	20.865	21.294	21.437	21.079	20.460	18.652		20.960	20.770		21.867	22.920	20.984	20.650	21.700	21.318	22.130	20.055	22.609	21.056	20.579	19.127
16/12/2014 19:30	21.628	21.461	22.274	21.199	19.984	21.891	20.865	21.270	21.437	21.079	20.460	18.652		20.960	20.770		21.867	22.920	20.984	20.650	21.724	21.318	22.130	20.055	22.609	21.056	20.579	19.127
16/12/2014 19:35	21.628	21.461	22.274	21.199	19.984	21.891	20.841	21.270	21.437	21.056	20.460	18.652		20.936	20.746		21.867	22.896	20.984	20.650	21.700	21.318	22.130	20.055	22.609	21.056	20.555	19.127
16/12/2014 19:40	21.628	21.437	22.274	21.199	19.960	21.891	20.841	21.270	21.437	21.056	20.460	18.652		20.936	20.746		21.843	22.896	20.984	20.650	21.676	21.294	22.130	20.055	22.609	21.032	20.555	19.127
16/12/2014 19:45	21.604	21.437	22.274	21.199	19.960	21.867	20.841	21.270	21.437	21.056	20.460	18.628		20.936	20.746		21.843	22.896	20.960	20.650	21.676	21.294	22.130	20.055	22.609	21.032	20.555	19.127
16/12/2014 19:50	21.604	21.437	22.250	21.175	19.960	21.867	20.841	21.270	21.413	21.056	20.436	18.628		20.936	20.746		21.843	22.896	20.960	20.627	21.676	21.294	22.130	20.031	22.609	21.032	20.531	19.127
16/12/2014 19:55	21.604	21.413	22.250	21.175	19.936	21.867	20.841	21.270	21.413	21.056	20.436	18.628		20.936	20.722		21.843	22.896	20.960	20.650	21.700	21.294	22.106	20.031	22.609	21.032	20.531	19.127
16/12/2014 20:00	21.604	21.413	22.250	21.151	19.936	21.867	20.817	21.246	21.413	21.056	20.436	18.628		20.936	20.722		21.819	22.872	20.936	20.627	21.676	21.270	22.106	20.031	22.585	21.032	20.531	19.127
16/12/2014 20:05	21.581	21.413	22.226	21.127	19.912	21.843	20.793	21.246	21.413	21.032	20.412	18.604		20.936	20.722		21.819	22.872	20.936	20.627	21.676	21.270	22.106	20.031	22.585	21.032	20.507	19.103
16/12/2014 20:10	21.581	21.413	22.202	21.127	19.912	21.819	20.793	21.223	21.413	21.032	20.365	18.604		20.913	20.698		21.795	22.848	20.913	20.627	21.652	21.246	22.082	20.031	22.561	21.008	20.484	19.127
16/12/2014 20:15	21.557	21.413	22.202	21.127	19.888	21.819	20.770	21.223	21.390	21.008	20.365	18.580		20.913	20.698		21.795	22.848	20.889	20.603	21.676	21.246	22.082	20.007	22.561	21.008	20.484	19.103
16/12/2014 20:20	21.557	21.390	22.178	21.127	19.865	21.795	20.770	21.199	21.390	21.008	20.365	18.580		20.889	20.674		21.795	22.848	20.889	20.603	21.676	21.246	22.082	20.007	22.561	21.008	20.460	19.103
16/12/2014 20:25	21.557	21.390	22.178	21.127	19.865	21.795	20.746	21.199	21.390	20.984	20.365	18.557		20.889	20.674		21.772	22.848	20.889	20.603	21.676	21.223	22.082	20.007	22.561	21.008	20.460	19.103
16/12/2014 20:30	21.557	21.390	22.178	21.103	19.865	21.795	20.746	21.199	21.366	20.984	20.365	18.557		20.889	20.674		21.772	22.824	20.865	20.603	21.676	21.223	22.082	19.984	22.537	21.008	20.460	19.080
16/12/2014 20:35	21.557	21.390	22.178	21.103	19.841	21.795	20.746	21.175	21.366	20.984	20.365	18.557		20.889	20.674		21.772	22.824	20.865	20.579	21.676	21.223	22.082	19.984	22.537	21.008	20.460	19.080
16/12/2014 20:40	21.557	21.390	22.178	21.103	19.817	21.772	20.746	21.175	21.366	20.960	20.365	18.533		20.865	20.674		21.772	22.824	20.865	20.579	21.676	21.223	22.058	19.984	22.537	21.008	20.436	19.080
16/12/2014 20:45	21.557	21.390	22.154	21.103	19.817	21.772	20.746	21.175	21.342	20.960	20.341	18.533		20.865	20.650		21.748	22.824	20.841	20.579	21.676	21.223	22.058	19.984	22.537	21.008	20.436	19.080
16/12/2014 20:50	21.557	21.390	22.178	21.103	19.793	21.772	20.746	21.175	21.342	20.960	20.341	18.509		20.841	20.650		21.748	22.824	20.841	20.579	21.676	21.223	22.058	19.984	22.513	21.008	20.412	19.056
16/12/2014 20:55	21.557	21.390	22.154	21.079	19.793	21.772	20.722	21.151	21.342	20.936	20.341	18.509		20.865	20.627		21.748	22.800	20.841	20.579	21.700	21.223	22.058	19.984	22.537	20.984	20.412	19.056
16/12/2014 21:00	21.557	21.390	22.154	21.079	19.793	21.772	20.722	21.151	21.342	20.936	20.341	18.509		20.841	20.627		21.748	22.800	20.817	20.555	21.676	21.223	22.058	19.960	22.537	20.984	20.412	19.056
16/12/2014 21:05	21.557	21.390	22.154	21.079	19.770	21.772	20.722	21.151	21.342	20.936	20.341	18.485		20.841	20.603		21.724	22.800	20.817	20.579	21.676	21.223	22.058	19.960	22.513	20.984	20.412	19.056
16/12/2014 21:10	21.557	21.390	22.130	21.079	19.770	21.748	20.722	21.151	21.342	20.936	20.317	18.485		20.841	20.603		21.724	22.800	20.817	20.555	21.652	21.199	22.058	19.960	22.513	20.984	20.388	19.056
16/12/2014 21:15	21.557	21.390	22.130	21.079	19.746	21.748	20.698	21.151	21.318	20.936	20.317	18.461		20.841	20.603		21.724	22.800	20.817	20.555	21.676	21.199	22.058	19.984	22.513	20.984	20.388	19.056
16/12/2014 21:20	21.557	21.390	22.130	21.079	19.746	21.748	20.698	21.151	21.318	20.936	20.317	18.461		20.841	20.603		21.724	22.776	20.817	20.555	21.676	21.223	22.058	19.960	22.513	20.984	20.388	19.056
16/12/2014 21:25	21.557	21.366	22.130	21.079	19.746	21.748	20.698	21.151	21.318	20.936	20.317	18.461		20.841	20.579		21.724	22.776	20.817	20.555	21.676	21.223	22.058	19.960	22.489	20.960	20.388	19.032
16/12/2014 21:30	21.557	21.390	22.130	21.056	19.746	21.748	20.698	21.151	21.318	20.936	20.317	18.461		20.841	20.579		21.700	22.776	20.793	20.555	21.676	21.199	22.058	19.960	22.489	20.960	20.388	19.032
16/12/2014 21:35	21.557	21.390	22.106	21.056	19.722	21.724	20.674	21.151	21.318	20.936	20.317	18.461		20.817	20.555		21.700	22.776	20.793	20.555	21.652	21.199	22.058	19.960	22.489	20.960	20.365	19.032
16/12/2014 21:40	21.557	21.366	22.106	21.056	19.722	21.724	20.674	21.127	21.318	20.913	20.293	18.461		20.817	20.555		21.700	22.776	20.793	20.555	21.676	21.199	22.058	19.936	22.465	20.960	20.365	19.032
16/12/2014 21:45	21.533	21.366	22.082	21.056	19.722	21.724	20.650	21.127	21.318	20.913	20.293	18.461		20.817	20.531		21.700	22.776	20.793	20.531	21.652	21.199	22.034	19.960	22.465	20.960	20.388	19.032
16/12/2014 21:50	21.533	21.366	22.082	21.056	19.722	21.724	20.650	21.127	21.318	20.913	20.293	18.461		20.817	20.507		21.700	22.776	20.793	20.531	21.652	21.199	22.034	19.960	22.465	20.936	20.365	19.032
