"N"	"Departement"	"Usage de Batiment"	"Annee de Construction"	"Materiau Principal"	"Q4Pa_surf(m^3/h*m^2)"
"503"	12553	"Non precise"	"Enseignement"	2012	"Beton"	0.38
"505"	12597	"Indre-et-Loire"	"Etablissement sanitaire"	2012	"Bois"	1.2
"506"	12611	"Indre-et-Loire"	"Etablissement sanitaire"	2013	"Bois"	0.62
"508"	12845	"Pyrenees-Atlantiques"	"Enseignement"	2012	"Beton"	1.73
"509"	12848	"Pyrenees-Atlantiques"	"Enseignement"	2012	"Bois"	0.27
"510"	12929	"Landes"	"Bureaux"	2012	"Acier"	8.23
"511"	13041	"Pyrenees-Atlantiques"	"Bureaux"	2012	"Mixte Acier-Beton"	0.84
"513"	13100	"Herault"	"Enseignement"	2012	"Mixte Acier-Beton"	1.575286636
"514"	13134	"Ille-et-Vilaine"	"Bureaux"	2012	"Beton"	0.29
"522"	13306	"Yvelines"	"Enseignement"	2012	"Bois"	0.4834
"523"	13326	"Sarthe"	"Hotel"	2012	"Beton"	2.068
"524"	13334	"Sarthe"	"Etablissement sanitaire"	2012	"Brique"	1.5965
"525"	13345	"Sarthe"	"Enseignement"	2012	"Autre"	1.1267
"527"	13658	"Finistere"	"Bureaux"	2011	"Mixte Beton-Bois"	0.391218
"535"	14390	"Morbihan"	"Bureaux"	2012	"Beton"	0.51
"536"	14488	"Morbihan"	"Restaurant"	2013	"Beton"	1.8
"537"	14503	"Non precise"	"Bureaux"	2011	"Acier"	2.3
"538"	14504	"Non precise"	"Restaurant"	2011	"Beton"	1
"542"	14533	"Rhone"	"Restaurant"	2011	"Beton"	1.4
"543"	14543	"Drome"	"Bureaux"	2011	"Acier"	6.7
"546"	14557	"Rhone"	"Enseignement"	2012	"Beton"	0.61
"548"	14563	"Saone-et-Loire"	"Bureaux"	2012	"Beton"	0.39
"556"	14607	"Ardeche"	"Locaux sportifs"	2012	"Bois"	0.73
"557"	14608	"Rhone"	"Enseignement"	2012	"Beton"	0.67
"558"	14609	"Non precise"	"Enseignement"	2012	"Bois"	0.63
"561"	14625	"Ain"	"Enseignement"	2012	"Beton"	0.66
"569"	14683	"Rhone"	"Bureaux"	2012	"Beton"	0.35
"571"	14729	"Loire-Atlantique"	"Enseignement"	2011	"Beton"	0.49
"573"	14732	"Non precise"	"Commerce"	2011	"Mixte Acier-Beton"	1.03
"575"	14825	"Non precise"	"Locaux sportifs"	2012	"Beton"	0.78
"576"	14827	"Loire-Atlantique"	"Enseignement"	2012	"Mixte Beton-Bois"	0.38
"577"	14829	"Vendee"	"Enseignement"	2012	"Beton"	1.5
"578"	14830	"Vendee"	"Enseignement"	2012	"Beton"	0.78
"585"	14924	"Vendee"	"Enseignement"	2012	"Beton"	1.5
"586"	14925	"Loire-Atlantique"	"Enseignement"	2012	"Bois"	2.4
"597"	15159	"Indre-et-Loire"	"Bureaux"	2012	"Beton"	0.925414596
"598"	15177	"Indre-et-Loire"	"Bureaux"	2012	"Beton"	0.334067181
"599"	15314	"Vendee"	"Etablissement sanitaire"	2012	"Beton"	1.118351
"601"	15407	"Tarn"	"Bureaux"	2011	"Brique"	1.22
"607"	15647	"Herault"	"Enseignement"	2012	"Beton"	0.53
"608"	15679	"Herault"	"Enseignement"	2012	"Beton"	0.7
"609"	15680	"Herault"	"Enseignement"	2012	"Beton"	0.5
"612"	15762	"Drome"	"Bureaux"	2012	"Beton"	0.66
"614"	15827	"Haute-Garonne"	"Salle polyvalente"	2012	"Bois"	1.88
"616"	15896	"Ille-et-Vilaine"	"Enseignement"	2012	"Bois"	0.503227
"617"	15914	"Cotes-Darmor"	"Enseignement"	2012	"Bois"	0.563089
"618"	15915	"Cotes-Darmor"	"Enseignement"	2012	"Bois"	0.390411
"619"	15916	"Cotes-Darmor"	"Enseignement"	2012	"Bois"	0.311989
"621"	15929	"Cotes-Darmor"	"Bureaux"	2012	"Mixte Acier-Beton"	1.883651
"624"	15946	"Ille-et-Vilaine"	"Enseignement"	2012	"Brique"	0.727682
"625"	15948	"Cotes-Darmor"	"Bureaux"	2012	"Pierre"	0.610429
"626"	15960	"Ille-et-Vilaine"	"Restaurant"	2012	"Brique"	2.255342
"631"	16010	"Cotes-Darmor"	"Enseignement"	2012	"Beton"	1.25212
"636"	16068	"Ille-et-Vilaine"	"Enseignement"	2012	"Beton"	0.693799
"637"	16069	"Ille-et-Vilaine"	"Enseignement"	2012	"Beton"	0.892295
"638"	16084	"Ille-et-Vilaine"	"Enseignement"	2011	"Bois"	0.66494835
"640"	16102	"Ille-et-Vilaine"	"Enseignement"	2012	"Mixte Beton-Bois"	0.313253
"641"	16103	"Ille-et-Vilaine"	"Enseignement"	2012	"Mixte Beton-Bois"	0.24926
"642"	16104	"Ille-et-Vilaine"	"Enseignement"	2012	"Mixte Beton-Bois"	0.200901
"643"	16165	"Cotes-Darmor"	"Enseignement"	2012	"Beton"	0.32
"644"	16241	"Calvados"	"Restaurant"	2012	"Beton"	0.496
"645"	16262	"Mayenne"	"Locaux sportifs"	2012	"Bois"	1.41
"648"	16265	"Mayenne"	"Salle polyvalente"	2012	"Brique"	0.83
"652"	16269	"Mayenne"	"Salle polyvalente"	2012	"Bois"	0.461358518
"654"	16271	"Mayenne"	"Etablissement sanitaire"	2012	"Bois"	1.16
"656"	16273	"Ille-et-Vilaine"	"Bureaux"	2012	"Bois"	0.76
"660"	16277	"Maine-et-Loire"	"Bureaux"	2012	"Beton"	0.46
"665"	16447	"Dordogne"	"Salle polyvalente"	2011	"Bois"	1.16
"666"	16473	"Haute-Vienne"	"Bureaux"	2011	"Beton"	1.41
"667"	16485	"Haute-Vienne"	"Bureaux"	2011	"Beton"	1.15
"668"	16487	"Cantal"	"Bureaux"	2012	"Brique"	1.28
"669"	16551	"Dordogne"	"Bureaux"	2012	"Beton"	1.11
"670"	16574	"Dordogne"	"Enseignement"	2013	"Bois"	0.76
"672"	16600	"Moselle"	"Enseignement"	2012	"Bois"	3.05
"675"	16636	"Isere"	"Enseignement"	2012	"Beton"	1.307
"678"	16676	"Isere"	"Enseignement"	2012	"Beton"	1.371
"679"	16677	"Isere"	"Restaurant"	2012	"Bois"	2.564
"680"	16678	"Isere"	"Enseignement"	2012	"Beton"	0.63
"682"	16698	"Isere"	"Restaurant"	2012	"Bois"	2.217
"683"	16702	"Isere"	"Restaurant"	2012	"Bois"	1.992
"685"	16704	"Isere"	"Bureaux"	2012	"Beton"	0.985
"689"	17075	"Non precise"	"Locaux sportifs"	2012	"Bois"	0.501533
"690"	17212	"Rhone"	"Bureaux"	2010	"Bois"	0.89
"691"	17228	"Savoie"	"Enseignement"	2010	"Bois"	1.3
"692"	17229	"Isere"	"Enseignement"	2010	"Bois"	0.23
"699"	17470	"Isere"	"Salle polyvalente"	2012	"Beton"	0.71
"700"	17551	"Drome"	"Bureaux"	2012	"Bois"	0.4
"701"	17603	"Cotes-Darmor"	"Enseignement"	2012	"Bois"	0.36
"702"	17666	"Morbihan"	"Bureaux"	2012	"Beton"	0.74
"704"	17702	"Loire"	"Salle polyvalente"	2012	"Beton"	0.614682
"705"	17703	"Loire"	"Salle polyvalente"	2012	"Beton"	1.017991
"706"	17704	"Loire"	"Bureaux"	2012	"Pierre"	1.751481
"711"	17755	"Saone-et-Loire"	"Etablissement sanitaire"	2012	"Beton"	0.41
"712"	17756	"Saone-et-Loire"	"Etablissement sanitaire"	2012	"Beton"	1.2
"713"	17757	"Saone-et-Loire"	"Etablissement sanitaire"	2012	"Beton"	3.93
