"N"	"Departement"	"Usage de Batiment"	"Annee de Construction"	"Materiau Principal"	"Q4Pa_surf(m^3/h*m^2)"
"2006"	61937	"Hauts-de-Seine"	"Etablissement sanitaire"	2013	"Beton"	1.44
"2007"	61938	"Hauts-de-Seine"	"Etablissement sanitaire"	2013	"Beton"	1.44
"2008"	61939	"Hauts-de-Seine"	"Etablissement sanitaire"	2013	"Beton"	0.59
"2009"	61940	"Hauts-de-Seine"	"Etablissement sanitaire"	2013	"Beton"	0.59
"2011"	62247	"Essonne"	"Enseignement"	2013	"Bois"	0.79
"2012"	62248	"Essonne"	"Enseignement"	2013	"Bois"	0.72
"2013"	62254	"Essonne"	"Salle polyvalente"	2013	"Beton"	0.44
"2015"	62306	"Val-de-Marne"	"Salle polyvalente"	2013	"Beton"	0.57
"2016"	62415	"Non precise"	"Enseignement"	2013	"Beton"	5
"2017"	62416	"Hauts-de-Seine"	"Etablissement sanitaire"	2013	"Beton"	0.82
"2018"	62417	"Hauts-de-Seine"	"Etablissement sanitaire"	2013	"Beton"	0.82
"2019"	62418	"Paris"	"Enseignement"	2013	"Beton"	0.87
"2020"	62419	"Hauts-de-Seine"	"Etablissement sanitaire"	2013	"Beton"	1
"2022"	62514	"Pyrenees-Orientales"	"Enseignement"	2013	"Beton"	0.828190396
"2023"	62545	"Bouches-du-Rhone"	"Bureaux"	2014	"Beton"	0.128747101
"2024"	62551	"Bouches-du-Rhone"	"Bureaux"	2014	"Beton"	0.129694647
"2025"	62669	"Calvados"	"Etablissement sanitaire"	2014	"Bois"	0.716711122
"2026"	62693	"Calvados"	"Hotel"	2014	"Bois"	0.591348945
"2027"	62694	"Calvados"	"Hotel"	2014	"Bois"	0.600409485
"2028"	62695	"Calvados"	"Hotel"	2014	"Bois"	0.710900639
"2029"	62696	"Calvados"	"Hotel"	2014	"Bois"	0.745808299
"2030"	62697	"Calvados"	"Hotel"	2014	"Bois"	1.689880521
"2031"	62698	"Calvados"	"Hotel"	2014	"Bois"	1.407453764
"2033"	62845	"Val-de-Marne"	"Bureaux"	2014	"Mixte Acier-Beton"	0.94
"2034"	62847	"Paris"	"Locaux sportifs"	2014	"Brique"	0.82
"2035"	62848	"Paris"	"Locaux sportifs"	2014	"Beton"	0.45
"2036"	63048	"Seine-et-Marne"	"Etablissement sanitaire"	2012	"Beton"	0.61
"2037"	63064	"Paris"	"Enseignement"	2013	"Beton"	0.95
"2038"	63065	"Hauts-de-Seine"	"Enseignement"	2013	"Beton"	1.09
"2039"	63082	"Non precise"	"Bureaux"	2014	"Mixte Acier-Beton"	1.33
"2043"	63133	"Nord"	"Bureaux"	2014	"Acier"	1.64
"2045"	63164	"Nord"	"Bureaux"	2014	"Acier"	1.41
"2046"	63165	"Nord"	"Enseignement"	2014	"Brique"	0.8
"2047"	63166	"Nord"	"Enseignement"	2014	"Brique"	0.99
"2048"	63186	"Indre-et-Loire"	"Bureaux"	2014	"Mixte Acier-Beton"	2.33
"2049"	63187	"Indre-et-Loire"	"Bureaux"	2014	"Mixte Acier-Beton"	2.38
"2050"	63203	"Eure-et-Loir"	"Locaux sportifs"	2014	"Beton"	0.23
"2058"	63403	"Hauts-de-Seine"	"Salle polyvalente"	2014	"Mixte Acier-Beton"	1.545267
"2061"	63430	"Loire-Atlantique"	"Enseignement"	2014	"Autre"	0.22
"2065"	63545	"Haut-Rhin"	"Enseignement"	2014	"Bois"	3.188060063
"2070"	63561	"Haut-Rhin"	"Enseignement"	2014	"Bois"	0.832805971
"2071"	63562	"Moselle"	"Etablissement sanitaire"	2014	"Bois"	0.325783725
"2072"	63565	"Doubs"	"Enseignement"	2014	"Brique"	11.08683233
"2073"	63579	"Bas-Rhin"	"Etablissement sanitaire"	2014	"Bois"	0.525323828
"2075"	63604	"Ardeche"	"Commerce"	2013	"Acier"	5.79
"2080"	63763	"Somme"	"Enseignement"	2014	"Bois"	0.95
"2082"	63793	"Alpes-de-Haute-Provence"	"Bureaux"	2015	"Bois"	0.887734643
"2084"	63866	"Paris"	"Etablissement sanitaire"	2014	"Beton"	3.22
"2089"	63961	"Bouches-du-Rhone"	"Bureaux"	2013	"Beton"	1.21
"2090"	64174	"Non precise"	"Enseignement"	2013	"Bois"	0.66
"2091"	64184	"Non precise"	"Bureaux"	2014	"Beton"	0.44
"2092"	64254	"Vaucluse"	"Enseignement"	2014	"Beton"	0.78
"2093"	64335	"Gard"	"Restaurant"	2014	"Beton"	0.9
"2094"	64573	"Non precise"	"Bureaux"	2014	"Acier"	5.55
"2095"	64604	"Paris"	"Etablissement sanitaire"	2014	"Beton"	2.04
"2096"	64605	"Paris"	"Etablissement sanitaire"	2014	"Beton"	1.31
"2097"	64606	"Paris"	"Etablissement sanitaire"	2014	"Beton"	1.7
"2098"	64607	"Paris"	"Etablissement sanitaire"	2014	"Beton"	1.05
"2099"	64608	"Paris"	"Etablissement sanitaire"	2014	"Beton"	1.09
"2100"	64609	"Paris"	"Etablissement sanitaire"	2014	"Beton"	0.99
"2101"	64610	"Paris"	"Etablissement sanitaire"	2014	"Beton"	1.44
"2102"	64693	"Val-de-Marne"	"Bureaux"	2014	"Beton"	1.04
"2103"	64694	"Val-de-Marne"	"Bureaux"	2014	"Beton"	4.68
"2104"	64695	"Val-de-Marne"	"Bureaux"	2014	"Beton"	7.03
"2105"	64696	"Val-de-Marne"	"Bureaux"	2014	"Beton"	2.31
"2107"	64844	"Morbihan"	"Enseignement"	2014	"Brique"	2.1
"2109"	64849	"Vendee"	"Enseignement"	2014	"Beton"	0.8
"2110"	64871	"Vendee"	"Bureaux"	2014	"Brique"	0.65
"2111"	64872	"Vendee"	"Bureaux"	2014	"Brique"	0.41
"2112"	64889	"Loire-Atlantique"	"Bureaux"	2014	"Beton"	0.32
"2116"	64964	"Loire-Atlantique"	"Bureaux"	2014	"Beton"	1.81
"2117"	64966	"Drome"	"Enseignement"	2014	"Bois"	0.47
"2118"	65002	"Rhone"	"Bureaux"	2014	"Beton"	0.26
"2119"	65072	"Isere"	"Enseignement"	2014	"Beton"	1.58
"2120"	65128	"Aube"	"Salle polyvalente"	2014	"Brique"	0.58
"2121"	65142	"Indre-et-Loire"	"Etablissement sanitaire"	2014	"Beton"	0.44
"2122"	65149	"Indre-et-Loire"	"Salle polyvalente"	2014	"Bois"	2.18
"2123"	65181	"Bas-Rhin"	"Enseignement"	2014	"Beton"	0.46
"2124"	65185	"Haut-Rhin"	"Restaurant"	2014	"Beton"	1.11
"2125"	65526	"Vendee"	"Salle polyvalente"	2014	"Beton"	0.69
"2127"	65725	"Pyrenees-Atlantiques"	"Enseignement"	2014	"Beton"	0.425
"2129"	65893	"Vendee"	"Salle polyvalente"	2014	"Bois"	0.93
"2131"	65967	"Vendee"	"Enseignement"	2014	"Beton"	1.24
"2132"	66038	"Vendee"	"Etablissement sanitaire"	2014	"Beton"	0.36
"2135"	66260	"Haute-Garonne"	"Etablissement sanitaire"	2014	"Bois"	0.41
"2136"	66261	"Haute-Garonne"	"Etablissement sanitaire"	2014	"Bois"	0.56
"2137"	66265	"Tarn"	"Commerce"	2014	"Acier"	1.64
"2138"	66279	"Tarn"	"Salle polyvalente"	2014	"Brique"	1.32
"2139"	66301	"Herault"	"Bureaux"	2014	"Mixte Acier-Beton"	1.806954365
"2140"	66303	"Non precise"	"Locaux sportifs"	2014	"Acier"	0.540862265
"2141"	66304	"Non precise"	"Locaux sportifs"	2014	"Acier"	0.590055714
"2142"	66305	"Non precise"	"Locaux sportifs"	2014	"Acier"	0.724221013
"2143"	66307	"Herault"	"Bureaux"	2014	"Mixte Acier-Beton"	0.676336241
"2144"	66404	"Herault"	"Etablissement sanitaire"	2015	"Autre"	0.23332778
"2145"	66405	"Herault"	"Etablissement sanitaire"	2015	"Autre"	0.373529613
"2146"	66444	"Vendee"	"Etablissement sanitaire"	2014	"Beton"	1.03
"2147"	66460	"Vendee"	"Enseignement"	2014	"Brique"	0.83
"2148"	66465	"Loire-Atlantique"	"Locaux sportifs"	2014	"Bois"	0.95
"2149"	66623	"Sarthe"	"Etablissement sanitaire"	2015	"Beton"	0.79
"2150"	66662	"Oise"	"Restaurant"	2013	"Bois"	2.79
"2151"	66663	"Oise"	"Restaurant"	2013	"Bois"	2.89
"2152"	66664	"Marne"	"Bureaux"	2010	"Beton"	6.45
"2155"	66680	"Oise"	"Enseignement"	2014	"Brique"	1.25
"2157"	66700	"Oise"	"Bureaux"	2014	"Brique"	1.64
"2159"	66705	"Somme"	"Enseignement"	2014	"Bois"	1.43
"2160"	66718	"Somme"	"Bureaux"	2014	"Beton"	0.54
"2163"	66740	"Somme"	"Enseignement"	2014	"Beton"	0.83
"2164"	66746	"Oise"	"Bureaux"	2014	"Beton"	0.63
"2169"	66777	"Pas-de-Calais"	"Bureaux"	2014	"Beton"	0.98
"2172"	66914	"Yonne"	"Enseignement"	2014	"Mixte Acier-Beton"	7.67
"2173"	66916	"Marne"	"Salle polyvalente"	2014	"Beton"	0.439
"2175"	66922	"Seine-et-Marne"	"Bureaux"	2014	"Beton"	1.425
"2176"	66941	"Aube"	"Enseignement"	2014	"Beton"	0.559
"2177"	66970	"Aube"	"Bureaux"	2014	"Mixte Acier-Beton"	5.4101
"2178"	67004	"Aude"	"Bureaux"	2014	"Bois"	0.53
"2179"	67005	"Aude"	"Bureaux"	2014	"Bois"	0.83
"2180"	67006	"Aude"	"Restaurant"	2014	"Bois"	1.54
"2181"	67007	"Aude"	"Bureaux"	2014	"Bois"	1.2
"2182"	67008	"Aude"	"Bureaux"	2014	"Bois"	0.92
"2183"	67096	"Haute-Vienne"	"Salle polyvalente"	2014	"Beton"	1.490904446
"2185"	67109	"Haute-Vienne"	"Salle polyvalente"	2014	"Beton"	1.388077663
"2187"	67117	"Haute-Vienne"	"Etablissement sanitaire"	2014	"Beton"	1.22873401
"2188"	67120	"Haute-Vienne"	"Bureaux"	2014	"Mixte Beton-Bois"	0.805827807
"2189"	67148	"Haute-Vienne"	"Bureaux"	2014	"Acier"	2.395230208
"2190"	67150	"Haute-Vienne"	"Bureaux"	2014	"Acier"	3.936019025
"2191"	67188	"Morbihan"	"Etablissement sanitaire"	2014	"Bois"	0.8
"2192"	67189	"Morbihan"	"Etablissement sanitaire"	2014	"Bois"	0.48
"2193"	67190	"Morbihan"	"Etablissement sanitaire"	2014	"Bois"	0.69
"2194"	67191	"Morbihan"	"Etablissement sanitaire"	2014	"Bois"	0.69
"2198"	67249	"Morbihan"	"Salle polyvalente"	2014	"Bois"	1.06
"2199"	67310	"Correze"	"Etablissement sanitaire"	2014	"Bois"	0.939262
"2200"	67580	"Charente-Maritime"	"Bureaux"	2014	"Brique"	0.2247
"2201"	67638	"Deux-Sevres"	"Bureaux"	2014	"Beton"	0.2359
"2202"	67786	"Charente-Maritime"	"Enseignement"	2014	"Brique"	0.1703
"2203"	67787	"Deux-Sevres"	"Bureaux"	2014	"Beton"	0.3439
"2204"	67788	"Loire-Atlantique"	"Enseignement"	2012	"Bois"	1.12
"2205"	67815	"Loire-Atlantique"	"Etablissement sanitaire"	2012	"Brique"	0.87
"2206"	67974	"Non precise"	"Etablissement sanitaire"	2013	"Beton"	0.34
"2208"	68008	"Hauts-de-Seine"	"Enseignement"	2013	"Bois"	1.06
"2209"	68009	"Bas-Rhin"	"Bureaux"	2013	"Brique"	3.72
"2210"	68069	"Bas-Rhin"	"Enseignement"	2013	"Beton"	0.7
"2212"	68237	"Isere"	"Bureaux"	2014	"Beton"	1.0003
"2213"	68653	"Cotes-Darmor"	"Bureaux"	2013	"Bois"	0.41626
"2214"	68736	"Non precise"	"Bureaux"	2014	"Beton"	0.6
"2215"	68760	"Landes"	"Bureaux"	2014	"Beton"	0.458646156
"2216"	68775	"Landes"	"Etablissement sanitaire"	2014	"Terre cuite"	0.372539544
"2217"	68804	"Marne"	"Bureaux"	2014	"Beton"	0.49
"2218"	69030	"Loire-Atlantique"	"Enseignement"	2014	"Bois"	0.45
"2219"	69128	"Gard"	"Bureaux"	2014	"Acier"	0.43856578
"2220"	69241	"Rhone"	"Salle polyvalente"	2014	"Pierre"	2.38
"2221"	69242	"Rhone"	"Restaurant"	2014	"Pierre"	2.33
"2222"	69254	"Rhone"	"Enseignement"	2014	"Bois"	0.57
"2223"	69590	"Non precise"	"Enseignement"	2014	"Mixte Beton-Bois"	0.39
"2227"	69708	"Haute-Garonne"	"Bureaux"	2014	"Beton"	1.828309915
"2228"	69994	"Eure-et-Loir"	"Enseignement"	2013	"Bois"	1.51
"2229"	69995	"Eure-et-Loir"	"Enseignement"	2013	"Bois"	1.73
"2230"	70007	"Yvelines"	"Enseignement"	2014	"Beton"	0.49
"2231"	70017	"Eure-et-Loir"	"Etablissement sanitaire"	2014	"Brique"	1.78
"2232"	70212	"Haute-Garonne"	"Bureaux"	2014	"Brique"	0.67
"2233"	70398	"Lozere"	"Etablissement sanitaire"	2013	"Bois"	2.0764
"2235"	70455	"Bas-Rhin"	"Enseignement"	2013	"Bois"	0.78
"2237"	70474	"Bas-Rhin"	"Enseignement"	2014	"Brique"	0.58
"2241"	70508	"Isere"	"Locaux sportifs"	2014	"Bois"	0.4
"2242"	70672	"Lozere"	"Etablissement sanitaire"	2012	"Bois"	0.9
"2243"	70730	"Herault"	"Enseignement"	2014	"Acier"	0.7
"2244"	70758	"Non precise"	"Bureaux"	2014	"Acier"	1.34
"2245"	70879	"Meuse"	"Bureaux"	2015	"Terre cuite"	0.233930601
"2246"	71152	"Vaucluse"	"Bureaux"	2014	"Brique"	1.01
"2250"	71186	"Haut-Rhin"	"Bureaux"	2014	"Brique"	0.67
"2252"	71219	"Haut-Rhin"	"Bureaux"	2014	"Brique"	0.93
"2253"	71264	"Haute-Savoie"	"Commerce"	2014	"Beton"	1.31
"2254"	71301	"Puy-de-Dome"	"Enseignement"	2013	"Bois"	0.58
"2255"	71344	"Charente-Maritime"	"Bureaux"	2014	"Beton"	0.620160199
"2258"	71603	"Landes"	"Bureaux"	2014	"Bois"	0.21
"2267"	71794	"Non precise"	"Industrie"	2014	"Acier"	0.084798
"2268"	71800	"Finistere"	"Bureaux"	2014	"Beton"	1.402583
"2276"	72030	"Seine-Saint-Denis"	"Bureaux"	2014	"Beton"	0.68
"2277"	72326	"Charente-Maritime"	"Enseignement"	2014	"Brique"	0.54
"2278"	72488	"Seine-et-Marne"	"Enseignement"	2014	"Beton"	0.38
"2280"	72605	"Essonne"	"Enseignement"	2014	"Beton"	0.88
"2281"	72882	"Rhone"	"Commerce"	2014	"Acier"	1.876264305
"2282"	72889	"Drome"	"Enseignement"	2014	"Beton"	0.882536975
"2283"	72891	"Drome"	"Locaux sportifs"	2014	"Beton"	0.318121011
"2284"	72946	"Hautes-Alpes"	"Enseignement"	2015	"Brique"	1.377219337
"2285"	73002	"Pyrenees-Atlantiques"	"Enseignement"	2014	"Bois"	0.303092401
"2287"	73303	"Seine-Maritime"	"Commerce"	2014	"Acier"	0.4
"2288"	73315	"Nord"	"Bureaux"	2014	"Acier"	0.89
"2289"	73316	"Nord"	"Bureaux"	2014	"Acier"	1.21
"2290"	73515	"Meuse"	"Bureaux"	2014	"Beton"	0.81
"2291"	73519	"Haute-Saone"	"Bureaux"	2014	"Bois"	0.4
"2292"	73534	"Doubs"	"Etablissement sanitaire"	2014	"Bois"	0.89
"2293"	73535	"Cote-Dor"	"Bureaux"	2014	"Beton"	0.58
"2294"	73540	"Doubs"	"Bureaux"	2014	"Bois"	1.66
"2295"	73665	"Non precise"	"Bureaux"	2014	"Brique"	0.59
"2296"	73666	"Non precise"	"Bureaux"	2014	"Bois"	0.53
"2297"	73667	"Non precise"	"Bureaux"	2014	"Bois"	0.78
"2298"	73668	"Non precise"	"Bureaux"	2014	"Bois"	0.64
"2299"	73669	"Non precise"	"Bureaux"	2014	"Bois"	0.56
"2300"	73670	"Non precise"	"Bureaux"	2014	"Bois"	0.81
"2303"	73720	"Seine-et-Marne"	"Etablissement sanitaire"	2013	"Beton"	0.96
"2304"	73721	"Seine-et-Marne"	"Etablissement sanitaire"	2013	"Beton"	0.78
"2305"	73722	"Seine-et-Marne"	"Etablissement sanitaire"	2013	"Beton"	0.8
"2306"	73723	"Seine-et-Marne"	"Etablissement sanitaire"	2013	"Beton"	1
"2307"	73724	"Seine-et-Marne"	"Etablissement sanitaire"	2013	"Beton"	0.66
"2308"	73725	"Seine-et-Marne"	"Etablissement sanitaire"	2013	"Beton"	0.98
"2310"	73727	"Essonne"	"Etablissement sanitaire"	2013	"Beton cellulaire"	1.07
"2311"	73728	"Essonne"	"Etablissement sanitaire"	2013	"Beton cellulaire"	0.87
"2313"	73850	"Ariege"	"Etablissement sanitaire"	2014	"Beton"	1.16
"2315"	73853	"Ariege"	"Etablissement sanitaire"	2014	"Brique"	0.58
"2316"	73855	"Ariege"	"Etablissement sanitaire"	2015	"Brique"	0.19
"2317"	73901	"Saone-et-Loire"	"Enseignement"	2013	"Beton"	0.88
"2318"	73908	"Saone-et-Loire"	"Enseignement"	2014	"Brique"	0.68
"2320"	74042	"Bouches-du-Rhone"	"Locaux sportifs"	2014	"Beton"	0.83
"2321"	74672	"Manche"	"Bureaux"	2014	"Bois"	0.5
"2322"	74673	"Calvados"	"Enseignement"	2014	"Beton"	1.04
"2323"	74674	"Calvados"	"Enseignement"	2014	"Beton"	0.69
"2324"	74686	"Calvados"	"Hotel"	2014	"Beton"	1.97
"2325"	74728	"Doubs"	"Salle polyvalente"	2014	"Beton"	0.5
"2326"	74729	"Jura"	"Bureaux"	2014	"Mixte Beton-Bois"	0.68
"2328"	74734	"Loire"	"Bureaux"	2014	"Mixte Beton-Bois"	0.368385693
"2329"	74738	"Savoie"	"Enseignement"	2014	"Beton"	0.8
"2330"	74742	"Jura"	"Enseignement"	2014	"Brique"	0.7
"2334"	74757	"Isere"	"Enseignement"	2014	"Mixte Acier-Beton"	1.478500584
"2335"	74763	"Jura"	"Locaux sportifs"	2014	"Acier"	0.56
"2336"	74775	"Isere"	"Enseignement"	2014	"Mixte Acier-Beton"	0.773775109
"2337"	74797	"Saone-et-Loire"	"Etablissement sanitaire"	2014	"Brique"	1.3
"2338"	74798	"Savoie"	"Bureaux"	2013	"Beton"	0.77
"2340"	74824	"Cote-Dor"	"Enseignement"	2014	"Beton"	0.55
"2343"	74843	"Ain"	"Bureaux"	2014	"Bois"	0.17
"2345"	74855	"Doubs"	"Bureaux"	2014	"Beton"	3.49
"2347"	74864	"Jura"	"Enseignement"	2012	"Beton"	3.36
"2348"	74882	"Ain"	"Enseignement"	2014	"Brique"	2.05
"2349"	74890	"Rhone"	"Enseignement"	2014	"Beton"	0.17
"2350"	74891	"Doubs"	"Bureaux"	2014	"Beton"	0.71
"2351"	74892	"Jura"	"Enseignement"	2014	"Bois"	0.15
"2352"	74913	"Rhone"	"Bureaux"	2011	"Mixte Acier-Beton"	3.42
"2353"	74914	"Rhone"	"Bureaux"	2011	"Mixte Acier-Beton"	4.25
"2354"	74915	"Rhone"	"Bureaux"	2011	"Mixte Acier-Beton"	2.93
"2355"	74916	"Rhone"	"Bureaux"	2011	"Mixte Acier-Beton"	2.93
"2358"	75760	"Bas-Rhin"	"Etablissement sanitaire"	2013	"Beton"	0.37
"2359"	75764	"Haut-Rhin"	"Locaux sportifs"	2014	"Beton"	3.49
"2360"	75773	"Haute-Loire"	"Etablissement sanitaire"	2014	"Bois"	0.46
"2361"	75786	"Puy-de-Dome"	"Bureaux"	2014	"Terre cuite"	0.77
"2362"	75859	"Pyrenees-Atlantiques"	"Bureaux"	2014	"Bois"	0.47
"2363"	76049	"Pyrenees-Atlantiques"	"Bureaux"	2014	"Mixte Beton-Bois"	0.9608
"2366"	76365	"Seine-Maritime"	"Enseignement"	2013	"Beton"	0.53497327
"2368"	76504	"Oise"	"Bureaux"	2014	"Brique"	3.08
"2369"	76570	"Oise"	"Bureaux"	2014	"Brique"	0.97
"2373"	76852	"Non precise"	"Enseignement"	2014	"Beton"	0.83
"2380"	77021	"Yvelines"	"Bureaux"	2014	"Beton"	0.58
"2381"	77022	"Non precise"	"Enseignement"	2014	"Beton"	0.64
"2382"	77038	"Paris"	"Bureaux"	2014	"Mixte Acier-Beton"	1.98
"2386"	77670	"Ille-et-Vilaine"	"Bureaux"	2014	"Beton"	0.748673
"2387"	77677	"Cotes-Darmor"	"Etablissement sanitaire"	2014	"Bois"	0.435796
"2388"	77678	"Ille-et-Vilaine"	"Enseignement"	2014	"Beton"	0.506196
"2389"	77682	"Morbihan"	"Industrie"	2014	"Acier"	0.466759
"2390"	77686	"Mayenne"	"Salle polyvalente"	2014	"Beton"	0.505266
"2391"	77709	"Cotes-Darmor"	"Restaurant"	2014	"Beton"	2.377908
"2392"	77710	"Ille-et-Vilaine"	"Restaurant"	2014	"Beton"	0.965299
"2393"	77712	"Cotes-Darmor"	"Restaurant"	2014	"Beton"	0.715556
"2394"	77717	"Ille-et-Vilaine"	"Enseignement"	2014	"Mixte Acier-Beton"	0.740583
"2395"	77725	"Ille-et-Vilaine"	"Bureaux"	2014	"Bois"	1.176452
"2396"	77727	"Morbihan"	"Bureaux"	2014	"Beton"	1.160456
"2397"	77728	"Cotes-Darmor"	"Restaurant"	2014	"Beton"	0.998496
"2398"	77732	"Cotes-Darmor"	"Salle polyvalente"	2014	"Pierre"	1.051544
"2399"	77733	"Ille-et-Vilaine"	"Enseignement"	2014	"Bois"	0.738621
"2400"	77741	"Cotes-Darmor"	"Bureaux"	2014	"Pierre"	0.696253
"2401"	77748	"Ille-et-Vilaine"	"Enseignement"	2014	"Beton"	1.189076
"2402"	77749	"Ille-et-Vilaine"	"Enseignement"	2014	"Beton"	0.571261
"2403"	77750	"Ille-et-Vilaine"	"Enseignement"	2014	"Beton"	1.807325
"2404"	77751	"Ille-et-Vilaine"	"Enseignement"	2014	"Beton"	1.586139
"2405"	77752	"Ille-et-Vilaine"	"Enseignement"	2014	"Beton"	0.721065
"2406"	77753	"Ille-et-Vilaine"	"Enseignement"	2014	"Beton"	2.169461
"2407"	77768	"Cotes-Darmor"	"Salle polyvalente"	2014	"Bois"	0.536974
"2408"	77773	"Ille-et-Vilaine"	"Locaux sportifs"	2013	"Beton"	1.366135
"2409"	77794	"Ille-et-Vilaine"	"Locaux sportifs"	2014	"Beton"	1.330988
"2410"	77851	"Ille-et-Vilaine"	"Enseignement"	2014	"Mixte Beton-Bois"	0.651043
"2411"	77852	"Ille-et-Vilaine"	"Enseignement"	2014	"Mixte Beton-Bois"	1.426921
"2412"	77926	"Ille-et-Vilaine"	"Bureaux"	2014	"Bois"	0.737426
"2413"	77942	"Ille-et-Vilaine"	"Enseignement"	2014	"Mixte Beton-Bois"	0.650651
"2414"	77943	"Ille-et-Vilaine"	"Enseignement"	2014	"Mixte Beton-Bois"	1.107969
"2415"	77949	"Ille-et-Vilaine"	"Bureaux"	2014	"Beton"	0.475159
"2416"	77954	"Cotes-Darmor"	"Bureaux"	2014	"Bois"	1.81
"2417"	77955	"Cotes-Darmor"	"Bureaux"	2014	"Mixte Beton-Bois"	0.62
"2418"	77956	"Cotes-Darmor"	"Bureaux"	2014	"Mixte Beton-Bois"	0.82
"2421"	78006	"Loire-Atlantique"	"Enseignement"	2014	"Beton"	0.73
"2422"	78007	"Loire-Atlantique"	"Enseignement"	2014	"Beton"	1.24
"2423"	78008	"Mayenne"	"Etablissement sanitaire"	2014	"Bois"	0.6
"2424"	78009	"Mayenne"	"Bureaux"	2014	"Beton"	1.1
"2425"	78010	"Mayenne"	"Bureaux"	2014	"Beton"	1.2
"2427"	78012	"Mayenne"	"Bureaux"	2014	"Beton"	0.81
"2428"	78013	"Maine-et-Loire"	"Restaurant"	2014	"Beton"	1.24
"2433"	78239	"Dordogne"	"Enseignement"	2014	"Chanvre"	2.03
"2434"	78240	"Dordogne"	"Enseignement"	2014	"Bois"	2.2
"2435"	78620	"Non precise"	"Salle polyvalente"	2014	"Mixte Beton-Bois"	0.759
"2437"	78625	"Hautes-Alpes"	"Etablissement sanitaire"	2013	"Beton"	1.33
"2438"	78626	"Isere"	"Enseignement"	2014	"Beton"	0.84
"2439"	78629	"Non precise"	"Salle polyvalente"	2014	"Mixte Beton-Bois"	0.86
"2441"	78637	"Rhone"	"Salle polyvalente"	2014	"Mixte Beton-Bois"	0.24
"2442"	78638	"Rhone"	"Salle polyvalente"	2014	"Mixte Beton-Bois"	0.35
"2444"	78648	"Isere"	"Enseignement"	2014	"Mixte Beton-Bois"	0.89
"2445"	78694	"Moselle"	"Bureaux"	2014	"Bois"	0.408600462
"2447"	78715	"Isere"	"Etablissement sanitaire"	2013	"Beton"	1.13
"2449"	78718	"Savoie"	"Enseignement"	2013	"Bois"	0.76
"2451"	78720	"Savoie"	"Locaux sportifs"	2014	"Bois"	0.33
"2454"	78768	"Isere"	"Etablissement sanitaire"	2014	"Beton"	1.14
"2457"	78788	"Loiret"	"Bureaux"	2014	"Beton"	0.403
"2461"	78844	"Loir-et-Cher"	"Restaurant"	2015	"Paille"	0.53
"2466"	79018	"Ain"	"Etablissement sanitaire"	2014	"Brique"	0.14
"2468"	79042	"Savoie"	"Bureaux"	2014	"Beton"	0.814173683
"2469"	79043	"Savoie"	"Bureaux"	2014	"Beton"	1.30691505
"2471"	79132	"Calvados"	"Enseignement"	2014	"Beton"	0.612018636
"2473"	79206	"Ille-et-Vilaine"	"Enseignement"	2014	"Beton"	0.973307483
"2474"	79303	"Lot-et-Garonne"	"Bureaux"	2014	"Beton"	0.48
"2475"	79550	"Ille-et-Vilaine"	"Bureaux"	2014	"Beton"	0.863443
"2476"	79782	"Savoie"	"Salle polyvalente"	2014	"Bois"	0.669
"2477"	79983	"Orne"	"Bureaux"	2014	"Beton"	0.452
"2478"	79984	"Orne"	"Bureaux"	2014	"Beton"	0.637
"2479"	80006	"Sarthe"	"Bureaux"	2014	"Beton"	1.425
"2480"	80056	"Non precise"	"Bureaux"	2014	"Mixte Acier-Beton"	2.48
"2482"	80292	"Savoie"	"Commerce"	2014	"Bois"	0.37
"2483"	80348	"Var"	"Bureaux"	2014	"Beton"	0.96
"2484"	80490	"Maine-et-Loire"	"Enseignement"	2014	"Beton"	11.0364
"2485"	80491	"Maine-et-Loire"	"Enseignement"	2014	"Beton"	7.8359
"2486"	80504	"Haute-Savoie"	"Bureaux"	2014	"Beton"	0.19
"2487"	80515	"Loire-Atlantique"	"Enseignement"	2014	"Bois"	0.8
"2488"	80523	"Loire-Atlantique"	"Bureaux"	2014	"Beton"	1.26
"2491"	80574	"Maine-et-Loire"	"Etablissement sanitaire"	2014	"Bois"	1.22
"2495"	80621	"Loire-Atlantique"	"Enseignement"	2014	"Beton"	0.78
"2496"	80624	"Maine-et-Loire"	"Enseignement"	2014	"Mixte Beton-Bois"	0.702
"2497"	80648	"Loire-Atlantique"	"Enseignement"	2014	"Bois"	0.4042
"2498"	80701	"Mayenne"	"Bureaux"	2015	"Beton"	0.8302
"2500"	80716	"Maine-et-Loire"	"Enseignement"	2014	"Beton"	7.5121
"2502"	80826	"Landes"	"Etablissement sanitaire"	2014	"Beton"	0.699908
"2503"	80852	"Maine-et-Loire"	"Bureaux"	2014	"Mixte Beton-Bois"	0.305502
"2504"	80887	"Maine-et-Loire"	"Enseignement"	2014	"Brique"	0.984663
"2505"	80925	"Maine-et-Loire"	"Bureaux"	2014	"Bois"	0.28
"2506"	81196	"Maine-et-Loire"	"Enseignement"	2014	"Beton"	0.38
"2507"	81259	"Charente-Maritime"	"Commerce"	2014	"Beton"	0.890102
"2508"	81358	"Charente-Maritime"	"Bureaux"	2014	"Beton"	1.664906
"2511"	81412	"Bas-Rhin"	"Bureaux"	2011	"Acier"	4.339325796
"2514"	81446	"Bas-Rhin"	"Enseignement"	2013	"Beton"	2.722986509
